lon,lat,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
116.49617,39.91927,262,2,8,0.19,66,363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.50427,39.91967,228,3,1,0.13,66,358,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.50211000000002,39.91854,262,3,1,0.18,66,358,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.45636,39.91878,597,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.38085,39.8612,302,1,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.335,40.05729,148,15,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116.45877,39.91732,752,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45613,39.93783,403,20,0,0.0,1,317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.39351,39.95319,872,30,0,0.0,26,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.44265,39.93974,497,1,1,1.0,9,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.48696,39.93143,939,3,55,1.0,1,337,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.5041,39.9654,443,1,2,0.04,1,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.37008,39.91912,1181,1,3,0.06,4,345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.37128,39.91967,1577,1,0,0.0,4,357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.37112,39.91901,980,1,1,0.43,4,342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.44203,40.44871,1007,7,12,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116.37228,39.92105,879,1,4,0.08,4,353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.4593,39.9223,208,2,41,2.72,1,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.57891,39.90995,336,1,9,0.33,3,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.57639,39.91038,336,1,20,0.45,3,181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.32466,39.96979,282,2,11,0.21,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116.46095,39.94379,228,1,17,0.31,5,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.46751,39.94374000000001,228,1,23,0.46,5,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.35597,39.84464000000001,134,1,19,0.35,11,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.3628,39.84922,101,1,76,1.51,11,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116.33455,40.07509,148,28,1,0.04,2,365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
116.45633,39.92927,309,2,89,1.65,3,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
